15100 [4.99e-01, 6.90e-02, 8.30e-03]
15200 [4.98e-01, 6.93e-02, 8.51e-03]
15300 [4.99e-01, 6.94e-02, 8.37e-03]
15400 [5.01e-01, 6.96e-02, 8.52e-03]
15500 [5.05e-01, 6.97e-02, 8.27e-03]
15600 [5.03e-01, 6.96e-02, 8.09e-03]
15700 [5.07e-01, 6.98e-02, 8.04e-03]
15800 [5.06e-01, 7.01e-02, 8.13e-03]
15900 [5.08e-01, 6.99e-02, 7.84e-03]
16000 [5.08e-01, 7.00e-02, 7.93e-03]
16100 [5.07e-01, 6.98e-02, 7.56e-03]
16200 [5.09e-01, 6.99e-02, 7.55e-03]
16300 [5.10e-01, 6.98e-02, 7.36e-03]
16400 [5.08e-01, 6.99e-02, 7.32e-03]
16500 [5.06e-01, 7.03e-02, 7.57e-03]
16600 [5.05e-01, 7.02e-02, 7.54e-03]
16700 [5.08e-01, 7.04e-02, 7.49e-03]
16800 [5.08e-01, 7.08e-02, 7.77e-03]
16900 [5.09e-01, 7.06e-02, 7.48e-03]
17000 [5.07e-01, 7.06e-02, 7.52e-03]
17100 [5.08e-01, 7.08e-02, 7.50e-03]
17200 [5.08e-01, 7.07e-02, 7.50e-03]
17300 [5.06e-01, 7.09e-02, 7.64e-03]
17400 [5.05e-01, 7.08e-02, 7.35e-03]
17500 [5.04e-01, 7.09e-02, 7.38e-03]
17600 [5.06e-01, 7.08e-02, 7.34e-03]
17700 [5.08e-01, 7.07e-02, 7.29e-03]
17800 [5.07e-01, 7.07e-02, 7.41e-03]
17900 [5.08e-01, 7.08e-02, 7.43e-03]
18000 [5.07e-01, 7.06e-02, 7.32e-03]
18100 [5.08e-01, 7.08e-02, 7.36e-03]
18200 [5.07e-01, 7.09e-02, 7.46e-03]
18300 [5.06e-01, 7.07e-02, 7.13e-03]
18400 [5.09e-01, 7.08e-02, 7.12e-03]
18500 [5.06e-01, 7.07e-02, 7.03e-03]
18600 [5.06e-01, 7.13e-02, 7.48e-03]
18700 [5.03e-01, 7.08e-02, 7.05e-03]
18800 [5.01e-01, 7.11e-02, 7.18e-03]
18900 [4.99e-01, 7.11e-02, 7.19e-03]
19000 [4.96e-01, 7.11e-02, 7.12e-03]
19100 [4.97e-01, 7.11e-02, 7.13e-03]
19200 [4.99e-01, 7.12e-02, 7.17e-03]
19300 [4.99e-01, 7.06e-02, 6.59e-03]
19400 [4.99e-01, 7.12e-02, 7.15e-03]
19500 [4.98e-01, 7.13e-02, 7.26e-03]
19600 [4.98e-01, 7.13e-02, 7.39e-03]
19700 [4.98e-01, 7.11e-02, 7.08e-03]
19800 [4.97e-01, 7.09e-02, 6.86e-03]
19900 [4.98e-01, 7.11e-02, 7.00e-03]
20000 [4.96e-01, 7.11e-02, 7.04e-03]
